CID,BDATE,GEN
NASAW00021753,9/3/1989,
NASAW00021754,1/29/1987,
NASAW00021755,11/12/1982,
NASAW00021756,6/21/1998,
NASAW00021757,12/24/1993,
NASAW00021758,9/29/1979,
NASAW00021759,5/10/2004,
NASAW00021760,8/8/2002,
NASAW00021761,9/22/1982,
NASAW00021762,12/22/1981,
NASAW00021763,7/31/1976,
NASAW00021764,7/19/1978,
NASAW00021765,10/22/1998,
NASAW00021766,11/15/1993,
NASAW00021767,8/26/1983,
NASAW00021768,3/11/2002,
NASAW00021769,1/10/1985,
NASAW00021770,4/27/1981,
NASAW00021771,6/13/1992,
NASAW00021772,1/31/1979,
NASAW00021773,8/14/1997,
NASAW00021774,1/18/1995,
NASAW00021775,7/21/1979,
NASAW00021776,2/2/1987,
NASAW00021777,3/2/1985,
NASAW00021778,2/11/1978,
NASAW00021779,8/28/1991,
NASAW00021780,10/1/1991,
NASAW00021781,5/17/1997,
NASAW00021782,5/14/1999,Male
NASAW00021783,3/18/1988,Female
NASAW00021784,8/11/2000,Female
NASAW00021785,7/20/1975,Female
NASAW00021786,3/5/1992,Female
NASAW00021787,1/7/2002,Female
NASAW00021788,10/25/1979,Male
NASAW00021789,6/21/2001,Female
NASAW00021790,1/19/1976,Male
NASAW00021791,9/22/1983,Male
NASAW00021792,7/31/1997,Female
NASAW00021793,1/7/1997,Female
NASAW00021794,10/21/1976,Female
NASAW00021795,10/12/1985,Male
NASAW00021796,1/24/1982,Female
NASAW00021797,10/26/1987,Male
NASAW00021798,8/5/1981,Female
NASAW00021799,8/14/2004,Male
NASAW00021800,5/10/2003,Female
NASAW00021801,7/6/1976,Female
NASAW00021802,2/20/1978,Male
NASAW00021803,7/15/1976,Female
NASAW00021804,1/31/2004,Female
NASAW00021805,7/24/1994,Male
NASAW00021806,12/2/1978,Male
NASAW00021807,1/12/2004,Female
NASAW00021808,10/27/1992,Female
NASAW00021809,6/28/1992,Female
NASAW00021810,10/30/1977,Male
NASAW00021811,6/30/1981,Female
NASAW00021812,5/25/1977,Male
NASAW00021813,11/18/1990,Male
NASAW00021814,1/18/2004,Male
NASAW00021815,2/13/1995,Female
NASAW00021816,4/17/1979,Male
NASAW00021817,6/7/1994,Male
NASAW00021818,11/18/1982,Male
NASAW00021819,7/26/1977,Female
NASAW00021820,5/2/1982,Female
NASAW00021821,5/6/1988,Male
NASAW00021822,4/17/1986,Male
NASAW00021823,11/17/2003,Female
NASAW00021824,12/8/1988,Male
NASAW00021825,2/10/2003,Male
NASAW00021826,9/22/1984,Female
NASAW00021827,10/6/1996,Female
NASAW00021828,2/15/1983,Female
NASAW00021829,9/9/2002,Female
NASAW00021830,12/24/1980,Female
NASAW00021831,10/15/1988,Female
NASAW00021832,6/10/1980,Male
NASAW00021833,4/26/1994,Male
NASAW00021834,12/28/1995,Female
NASAW00021835,12/3/1980,Female
NASAW00021836,3/17/1979,Female
NASAW00021837,8/13/1984,Female
NASAW00021838,4/27/2003,Male
NASAW00021839,8/30/1990,Male
NASAW00021840,5/28/1988,Female
NASAW00021841,2/8/1994,Female
NASAW00021842,12/26/1980,Male
NASAW00021843,9/27/1983,Female
NASAW00021844,1/31/2001,Male
NASAW00021845,3/6/1998,Male
NASAW00021846,7/24/1993,Male
NASAW00021847,8/18/1991,Male
NASAW00021848,7/13/2003,Male
NASAW00021849,12/22/1976,Male
NASAW00021850,5/6/1985,Male
NASAW00021851,5/26/1979,Male
NASAW00021852,5/28/1998,Male
NASAW00021853,9/18/1983,Female
NASAW00021854,1/31/1986,Female
NASAW00021855,12/11/1988,Female
NASAW00021856,12/26/1975,Male
NASAW00021857,10/30/1996,Male
NASAW00021858,7/19/2000,Male
NASAW00021859,7/21/1991,Female
NASAW00021860,3/25/1992,Female
NASAW00021861,1/20/2001,Female
NASAW00021862,12/30/1987,Female
NASAW00021863,7/15/2002,Female
NASAW00021864,7/20/1975,Male
NASAW00021865,8/31/2000,Female
NASAW00021866,7/1/1985,Female
NASAW00021867,1/25/1998,Male
NASAW00021868,7/10/1994,Female
NASAW00021869,5/4/1990,Female
NASAW00021870,5/11/1981,Female
NASAW00021871,12/29/1977,Male
NASAW00021872,7/4/1987,Female
NASAW00021873,2/16/1994,Female
NASAW00021874,8/5/1988,Female
NASAW00021875,7/17/1987,Male
NASAW00021876,11/2/1989,Male
NASAW00021877,4/16/1988,Male
NASAW00021878,6/2/2002,Male
NASAW00021879,4/27/1980,Male
NASAW00021880,9/21/1983,Male
NASAW00021881,1/15/1988,Female
NASAW00021882,2/19/1991,Male
NASAW00021883,3/14/2003,Female
NASAW00021884,1/1/1995,Female
NASAW00021885,11/18/1988,Male
NASAW00021886,3/17/1997,Female
NASAW00021887,3/20/1978,Female
NASAW00021888,6/22/1997,Male
NASAW00021889,1/3/1992,Female
NASAW00021890,5/9/2002,Female
NASAW00021891,5/19/1996,Female
NASAW00021892,2/13/1990,Female
NASAW00021893,5/15/1980,Female
NASAW00021894,8/23/2002,Male
NASAW00021895,1/22/1983,Female
NASAW00021896,4/22/1985,Male
NASAW00021897,6/6/1981,Male
NASAW00021898,7/14/1994,Male
NASAW00021899,6/16/1980,Female
NASAW00021900,10/18/1984,Male
NASAW00021901,3/19/1997,Female
NASAW00021902,2/3/1977,Female
NASAW00021903,5/20/1991,Male
NASAW00021904,10/28/1995,Male
NASAW00021905,2/12/1983,Male
NASAW00021906,5/13/1996,Female
NASAW00021907,12/13/1977,Female
NASAW00021908,9/9/1989,Female
NASAW00021909,8/12/1979,Female
NASAW00021910,12/9/1980,Female
NASAW00021911,1/19/1994,Female
NASAW00021912,8/8/1992,Female
NASAW00021913,7/24/1992,Male
NASAW00021914,9/22/2004,Female
NASAW00021915,12/29/1988,Male
NASAW00021916,2/4/1982,Male
NASAW00021917,2/6/1986,Male
NASAW00021918,5/8/1990,Female
NASAW00021919,12/10/1993,Female
NASAW00021920,11/13/2003,Female
NASAW00021921,10/21/1982,Male
NASAW00021922,2/16/1983,Female
NASAW00021923,7/22/2004,Male
NASAW00021924,9/5/1997,Male
NASAW00021925,9/17/1998,Female
NASAW00021926,7/16/1977,Female
NASAW00021927,8/15/1977,Female
NASAW00021928,1/12/1982,Male
NASAW00021929,8/5/1978,Female
NASAW00021930,9/12/1978,Female
NASAW00021931,6/22/1981,Male
NASAW00021932,12/21/1999,Male
NASAW00021933,7/9/1993,Female
NASAW00021934,8/25/1978,Female
NASAW00021935,8/28/1997,Female
NASAW00021936,10/22/1997,Female
NASAW00021937,6/18/1977,Female
NASAW00021938,9/25/2000,Female
NASAW00021939,11/11/1983,Male
NASAW00021940,9/14/1997,Male
NASAW00021941,8/20/1978,Female
NASAW00021942,8/12/1991,Female
NASAW00021943,12/22/1995,Female
NASAW00021944,5/26/1991,Female
NASAW00021945,2/10/1998,Female
NASAW00021946,1/27/1984,Female
NASAW00021947,5/15/1990,Female
NASAW00021948,2/11/1991,Female
NASAW00021949,7/4/1986,Male
NASAW00021950,8/28/2001,Male
NASAW00021951,6/14/1984,Male
NASAW00021952,2/16/1979,Female
NASAW00021953,8/15/2000,Male
NASAW00021954,3/8/1985,Female
NASAW00021955,9/18/1989,Female
NASAW00021956,9/11/1997,Male
NASAW00021957,10/16/1996,Female
NASAW00021958,7/4/2003,Female
NASAW00021959,9/14/1981,Male
NASAW00021960,2/24/1996,Female
NASAW00021961,10/13/1990,Female
NASAW00021962,8/24/1991,Female
NASAW00021963,10/18/1991,Female
NASAW00021964,11/8/1984,Male
NASAW00021965,2/24/1989,Female
NASAW00021966,3/26/1993,Male
NASAW00021967,10/28/1981,Male
NASAW00021968,7/27/1993,Male
NASAW00021969,5/14/1987,Female
NASAW00021970,12/23/1976,Female
NASAW00021971,11/29/1999,Male
NASAW00021972,11/17/1990,Female
NASAW00021973,9/27/1981,Female
NASAW00021974,2/28/1994,Female
NASAW00021975,6/22/1984,Male
NASAW00021976,10/13/1977,Female
NASAW00021977,8/22/1979,Male
NASAW00021978,7/22/1988,Female
NASAW00021979,1/15/2004,Male
NASAW00021980,7/17/1977,Female
NASAW00021981,8/23/2002,Female
NASAW00021982,1/9/1995,Female
NASAW00021983,4/24/1999,Male
NASAW00021984,11/28/1986,Female
NASAW00021985,1/21/1976,Male
NASAW00021986,12/12/1988,Female
NASAW00021987,2/2/1984,Male
NASAW00021988,4/11/2003,Female
NASAW00021989,6/12/1980,Male
NASAW00021990,6/19/1980,Male
NASAW00021991,7/28/2002,Female
NASAW00021992,8/5/1977,Male
NASAW00021993,7/28/1986,Male
NASAW00021994,11/18/1991,Female
NASAW00021995,5/21/1988,Female
NASAW00021996,8/12/1997,Female
NASAW00021997,2/1/2000,Male
NASAW00021998,1/21/2003,Male
NASAW00021999,10/23/1978,Female
NASAW00022000,9/19/1979,Female
NASAW00022001,12/2/1975,Male
NASAW00022002,3/4/1990,Female
NASAW00022003,6/14/1992,Female
NASAW00022004,11/25/2000,Female
NASAW00022005,5/22/2002,Female
NASAW00022006,9/27/2004,Male
NASAW00022007,10/5/1995,Female
NASAW00022008,1/11/1980,Female
NASAW00022009,3/25/1996,Male
NASAW00022010,5/29/1979,Male
NASAW00022011,3/6/1990,Male
NASAW00022012,10/21/2004,Female
NASAW00022013,8/15/2002,Male
NASAW00022014,7/9/1976,Male
NASAW00022015,10/30/2001,Female
NASAW00022016,12/26/1999,Male
NASAW00022017,7/4/1999,Female
NASAW00022018,4/10/1985,Male
NASAW00022019,11/15/2002,Female
NASAW00022020,2/9/1988,Male
NASAW00022021,5/26/1982,Male
NASAW00022022,7/30/1983,Male
NASAW00022023,8/28/1990,Male
NASAW00022024,3/19/1986,Male
NASAW00022025,10/26/1989,Female
NASAW00022026,5/25/1987,Female
NASAW00022027,4/28/2000,Male
NASAW00022028,8/12/1996,Female
NASAW00022029,5/26/1990,Female
NASAW00022030,9/26/1993,Female
NASAW00022031,12/12/1982,Male
NASAW00022032,9/2/1986,Male
NASAW00022033,8/3/1978,Male
NASAW00022034,7/30/1990,Male
NASAW00022035,12/31/2000,Male
NASAW00022036,12/19/1983,Female
NASAW00022037,2/24/1989,Female
NASAW00022038,9/27/1991,Female
NASAW00022039,9/19/1986,Female
NASAW00022040,4/2/1978,Male
NASAW00022041,10/4/1985,Female
AW00022042,10/13/1991,Female
AW00022043,6/2/2001,Female
AW00022044,5/17/1999,Male
AW00022045,6/20/1993,Male
AW00022046,9/19/1982,Female
AW00022047,12/15/2002,Male
AW00022048,4/6/1976,Female
AW00022049,8/7/2004,Male
AW00022050,3/19/1976,Male
AW00022051,7/20/1995,Female
AW00022052,8/5/1983,Male
AW00022053,2/4/1979,Male
AW00022054,10/4/1979,Male
AW00022055,4/28/1986,Female
AW00022056,1/26/1979,Male
AW00022057,4/21/1994,Male
AW00022058,9/21/1979,Male
AW00022059,7/6/1985,Male
AW00022060,10/17/1996,Male
AW00022061,10/16/1982,Female
AW00022062,3/20/1981,Male
AW00022063,6/4/1988,Female
AW00022064,10/1/1975,Male
AW00022065,5/22/1976,Male
AW00022066,7/11/1982,Female
AW00022067,3/22/2001,Female
AW00022068,9/20/2003,Male
AW00022069,6/27/1983,Female
AW00022070,3/21/1996,Male
AW00022071,12/12/1987,Male
AW00022072,4/8/1982,Male
AW00022073,11/23/1985,Male
AW00022074,11/15/2001,Male
AW00022075,3/15/1987,Male
AW00022076,7/31/1976,Male
AW00022077,3/26/1976,Male
AW00022078,5/26/2002,Male
AW00022079,9/12/1983,Female
AW00022080,5/15/1993,Female
AW00022081,7/28/1981,Female
AW00022082,10/25/1992,Male
AW00022083,9/13/1991,Male
AW00022084,8/25/2001,Male
AW00022085,10/7/2001,Female
AW00022086,4/28/1983,Female
AW00022087,5/26/1989,Female
AW00022088,6/1/1997,Female
AW00022089,9/29/1992,Male
AW00022090,6/20/1981,Female
AW00022091,2/3/1981,Female
AW00022092,9/11/1991,Female
AW00022093,11/19/1991,Female
AW00022094,6/14/2004,Male
AW00022095,8/6/1993,Male
AW00022096,9/1/1997,Male
AW00022097,5/15/1977,Male
AW00022098,11/12/2004,Female
AW00022099,9/11/2003,Male
AW00022100,4/2/1999,Male
AW00022101,6/23/1998,Female
AW00022102,12/8/1998,Male
AW00022103,7/27/1986,Female
AW00022104,1/12/1999,Male
AW00022105,11/10/2002,Female
AW00022106,12/27/2004,Female
AW00022107,11/19/1980,Male
AW00022108,9/19/1976,Male
AW00022109,1/12/1994,Male
AW00022110,3/11/1976,Male
AW00022111,8/22/2001,Female
AW00022112,8/11/1981,Female
AW00022113,3/5/1995,Female
AW00022114,9/2/1981,Male
AW00022115,12/5/1995,Male
AW00022116,8/14/1994,Male
AW00022117,1/12/1984,Female
AW00022118,5/22/1992,Female
AW00022119,5/13/2001,Female
AW00022120,9/1/1993,Female
AW00022121,1/8/2003,Male
AW00022122,8/8/1976,Female
AW00022123,12/18/2003,Female
AW00022124,11/10/2002,Female
AW00022125,7/23/1980,Male
AW00022126,5/15/2004,Female
AW00022127,5/10/2002,Male
AW00022128,3/27/1988,Female
AW00022129,12/12/1994,Female
AW00022130,7/17/1978,Male
AW00022131,6/26/1986,Female
AW00022132,4/2/1994,Female
AW00022133,2/20/2003,Male
AW00022134,6/6/1993,Male
AW00022135,8/20/1990,Female
AW00022136,9/24/1991,Male
AW00022137,7/11/1997,Female
AW00022138,7/1/1991,Female
AW00022139,4/23/1996,Male
AW00022140,6/16/1998,Female
AW00022141,8/25/2000,Male
AW00022142,3/8/1983,Male
AW00022143,3/24/1994,Female
AW00022144,1/3/2003,Male
AW00022145,11/14/1978,Male
AW00022146,10/14/1983,Male
AW00022147,6/28/2004,Male
AW00022148,9/23/2002,Female
AW00022149,10/8/1996,Male
AW00022150,6/29/1975,Male
AW00022151,5/4/1976,Male
AW00022152,12/7/1992,Male
AW00022153,6/22/1996,Female
AW00022154,12/24/1995,Female
AW00022155,1/24/1989,Male
AW00022156,5/27/2002,Female
AW00022157,8/18/1995,Female
AW00022158,9/8/1982,Female
AW00022159,4/21/1978,Male
AW00022160,7/9/1985,Male
AW00022161,12/19/1995,Female
AW00022162,8/17/1990,Male
AW00022163,8/1/2003,Female
AW00022164,9/2/1988,Female
AW00022165,1/6/1978,Male
AW00022166,12/28/1986,Female
AW00022167,7/21/1998,Female
AW00022168,10/3/1996,Female
AW00022169,1/24/1989,Female
AW00022170,9/3/1975,Female
AW00022171,8/11/1984,Female
AW00022172,10/25/1993,Male
AW00022173,5/25/1986,Female
AW00022174,4/9/1986,Male
AW00022175,11/30/1989,Female
AW00022176,6/8/2003,Male
AW00022177,1/25/2004,Female
AW00022178,12/19/2004,Female
AW00022179,11/3/1999,Female
AW00022180,10/28/2004,Male
AW00022181,2/7/1982,Male
AW00022182,1/24/1986,Female
AW00022183,4/5/1982,Male
AW00022184,3/4/1979,Male
AW00022185,7/26/2004,Male
AW00022186,7/3/1995,Male
AW00022187,2/12/1997,Female
AW00022188,8/21/1986,Female
AW00022189,12/7/1977,Female
AW00022190,5/2/1986,Male
AW00022191,12/21/1980,Male
AW00022192,7/6/1983,Male
AW00022193,4/10/1986,Female
AW00022194,8/10/1997,Male
AW00022195,9/15/1976,Male
AW00022196,10/7/1997,Male
AW00022197,12/22/1981,Male
AW00022198,6/25/1991,Male
AW00022199,8/31/1987,Male
AW00022200,8/8/1981,Female
AW00022201,7/3/1995,Female
AW00022202,5/14/1981,Male
AW00022203,1/19/1985,Female
AW00022204,6/27/1998,Male
AW00022205,5/7/1992,Male
AW00022206,6/16/1996,Female
AW00022207,4/5/1996,Female
AW00022208,6/7/1999,Female
AW00022209,7/6/1997,Male
AW00022210,9/29/1987,Female
AW00022211,3/21/1998,Male
AW00022212,7/5/2000,Female
AW00022213,5/8/1979,Male
AW00022214,2/23/2002,Female
AW00022215,2/13/1976,Male
AW00022216,9/20/1990,Male
AW00022217,2/7/1993,Male
AW00022218,3/21/1995,Male
AW00022219,11/25/1983,Female
AW00022220,1/26/1988,Male
AW00022221,7/11/1997,Male
AW00022222,2/8/1982,Male
AW00022223,12/11/1982,Female
AW00022224,11/22/1989,Female
AW00022225,10/7/1980,Female
AW00022226,8/31/1991,Female
AW00022227,3/12/1984,Female
AW00022228,1/19/1978,Female
AW00022229,4/25/1984,Male
AW00022230,11/13/1987,Female
AW00022231,9/30/1978,Female
AW00022232,7/19/2001,Female
AW00022233,9/29/1987,Male
AW00022234,11/14/1996,Female
AW00022235,2/5/1978,Male
AW00022236,4/6/1999,Male
AW00022237,10/23/1989,Male
AW00022238,3/3/1989,Male
AW00022239,8/22/1991,Male
AW00022240,3/9/1994,Male
AW00022241,4/7/1984,Female
AW00022242,7/16/1977,Male
AW00022243,7/29/1977,Female
AW00022244,1/14/1977,Female
AW00022245,9/9/1984,Male
AW00022246,7/12/2000,Female
AW00022247,4/21/1994,Male
AW00022248,12/3/1977,Male
AW00022249,6/15/1988,Male
AW00022250,11/30/2000,Male
AW00022251,12/30/2004,Female
AW00022252,2/11/1992,Female
AW00022253,6/13/1987,Female
AW00022254,11/8/1988,Male
AW00022255,3/18/1980,Female
AW00022256,11/22/1982,Male
AW00022257,5/4/1991,Female
AW00022258,6/10/2001,Female
AW00022259,2/3/1996,Male
AW00022260,8/8/1978,Female
AW00022261,2/20/1985,Male
AW00022262,12/6/2000,Male
AW00022263,9/1/1985,Male
AW00022264,11/21/1994,Female
AW00022265,11/27/2003,Male
AW00022266,12/23/1977,Female
AW00022267,8/31/1995,Female
AW00022268,4/6/1979,Female
AW00022269,3/22/1980,Male
AW00022270,10/24/1991,Male
AW00022271,5/25/1990,Male
AW00022272,7/28/2004,Female
AW00022273,1/28/1985,Female
AW00022274,6/24/1980,Male
AW00022275,12/15/2000,Male
AW00022276,3/13/1993,Female
AW00022277,4/4/1975,Female
AW00022278,3/17/1992,Female
AW00022279,11/7/1991,Female
AW00022280,9/29/1994,Male
AW00022281,4/7/1978,Female
AW00022282,7/31/1983,Male
AW00022283,7/4/1985,Male
AW00022284,3/31/1997,Female
AW00022285,3/17/1986,Female
AW00022286,8/26/1994,Male
AW00022287,12/17/1992,Female
AW00022288,10/11/1979,Female
AW00022289,12/19/1982,Male
AW00022290,10/13/1986,Female
AW00022291,9/20/1990,Male
AW00022292,3/15/1999,Female
AW00022293,11/10/1995,Female
AW00022294,4/29/1984,Female
AW00022295,6/7/1983,Female
AW00022296,5/8/1986,Male
AW00022297,6/24/1982,Female
AW00022298,5/19/1981,Male
AW00022299,9/17/1994,Male
AW00022300,5/18/2001,Female
AW00022301,2/13/1995,Female
AW00022302,2/1/1989,Male
AW00022303,6/18/1996,Male
AW00022304,4/26/1980,Female
AW00022305,11/17/1984,Female
AW00022306,10/9/1988,Male
AW00022307,12/7/1999,Female
AW00022308,4/28/1996,Female
AW00022309,7/26/1998,Female
AW00022310,3/14/1982,Female
AW00022311,1/7/1978,Male
AW00022312,5/3/2001,Female
AW00022313,8/13/2002,Male
AW00022314,1/18/1978,Female
AW00022315,3/1/1999,Male
AW00022316,3/17/1986,Female
AW00022317,8/30/1976,Female
AW00022318,8/21/1976,Male
AW00022319,9/12/2001,Male
AW00022320,10/29/2000,Male
AW00022321,6/14/1977,Male
AW00022322,11/26/1979,Male
AW00022323,11/28/1976,Female
AW00022324,2/25/1994,Female
AW00022325,12/24/1976,Male
AW00022326,3/22/1992,Female
AW00022327,7/9/2001,Male
AW00022328,8/8/1995,Female
AW00022329,6/14/1981,Female
AW00022330,1/31/1979,Male
AW00022331,10/17/1990,Female
AW00022332,6/8/1992,Female
AW00022333,2/3/1991,Female
AW00022334,12/25/2001,Male
AW00022335,3/9/2003,Male
AW00022336,5/22/1987,Male
AW00022337,7/19/1997,Female
AW00022338,12/20/1978,Male
AW00022339,10/13/1995,Male
AW00022340,2/17/1991,Male
AW00022341,1/19/1996,Male
AW00022342,6/28/1998,Male
AW00022343,4/9/1997,Female
AW00022344,10/27/1996,Female
AW00022345,8/1/2000,Female
AW00022346,2/4/2004,Female
AW00022347,7/15/2000,Female
AW00022348,7/13/1985,Female
AW00022349,7/28/2001,Male
AW00022350,9/28/1983,Female
AW00022351,2/23/1985,Female
AW00022352,11/19/2002,Female
AW00022353,1/10/1996,Female
AW00022354,11/19/1988,Female
AW00022355,11/23/1975,Male
AW00022356,11/18/1990,Male
AW00022357,3/2/1989,Male
AW00022358,9/13/1975,Female
AW00022359,11/7/1990,Male
AW00022360,8/18/1975,Male
AW00022361,1/3/2002,Male
AW00022362,5/2/1999,Male
AW00022363,10/29/1986,Female
AW00022364,5/15/1982,Female
AW00022365,12/18/1978,Male
AW00022366,9/22/1984,Male
AW00022367,9/18/1993,Female
AW00022368,4/30/1992,Male
AW00022369,11/23/2003,Male
AW00022370,1/12/1989,Female
AW00022371,6/29/1992,Male
AW00022372,1/2/2002,Female
AW00022373,12/15/1998,Female
AW00022374,7/3/1995,Male
AW00022375,10/29/1975,Female
AW00022376,2/29/1984,Male
AW00022377,2/21/2004,Male
AW00022378,4/24/1990,Female
AW00022379,12/2/1980,Male
AW00022380,6/17/2003,Male
AW00022381,8/19/1984,Male
AW00022382,1/23/1984,Female
AW00022383,9/3/1987,Male
AW00022384,11/28/2002,Female
AW00022385,4/15/1997,Female
AW00022386,6/14/1988,Male
AW00022387,4/5/1978,Female
AW00022388,9/11/1982,Male
AW00022389,5/27/1975,Male
AW00022390,11/8/1994,Male
AW00022391,12/11/1994,Female
AW00022392,11/1/1998,Female
AW00022393,9/8/1981,Female
AW00022394,7/24/1978,Female
AW00022395,1/15/2000,Male
AW00022396,4/22/1997,Female
AW00022397,2/7/1981,Female
AW00022398,1/22/1979,Female
AW00022399,8/13/1980,Male
AW00022400,6/8/1987,Male
AW00022401,5/5/1997,Male
AW00022402,2/11/1990,Male
AW00022403,5/9/1997,Male
AW00022404,5/11/2002,Female
AW00022405,9/25/2001,Male
AW00022406,10/25/1985,Male
AW00022407,5/4/1990,Female
AW00022408,7/11/1996,Male
AW00022409,8/21/1992,Female
AW00022410,1/28/1994,Female
AW00022411,6/13/1985,Female
AW00022412,9/4/1987,Male
AW00022413,9/9/1992,Female
AW00022414,5/16/1976,Male
AW00022415,1/30/2001,Female
AW00022416,8/23/1999,Female
AW00022417,8/9/1979,Male
AW00022418,6/17/1986,Male
AW00022419,1/10/1999,Male
AW00022420,4/1/1977,Male
AW00022421,7/5/1987,Female
AW00022422,9/30/1996,Female
AW00022423,10/13/1998,Male
AW00022424,4/4/1991,Male
AW00022425,4/13/1978,Male
AW00022426,7/29/1997,Female
AW00022427,4/26/1985,Male
AW00022428,8/17/1986,Female
AW00022429,9/27/1997,Male
AW00022430,4/23/1977,Male
AW00022431,6/25/1983,Female
AW00022432,9/3/2002,Female
AW00022433,2/3/2003,Male
AW00022434,9/10/1999,Male
AW00022435,10/26/1978,Male
AW00022436,10/10/1976,Male
AW00022437,5/19/1985,Female
AW00022438,3/13/1979,Male
AW00022439,5/10/1976,Female
AW00022440,12/29/1977,Female
AW00022441,12/20/2001,Female
AW00022442,10/2/1989,Female
AW00022443,6/28/1988,Male
AW00022444,11/27/1986,Male
AW00022445,4/19/1992,Female
AW00022446,3/21/1979,Male
AW00022447,10/6/1988,Female
AW00022448,12/29/1994,Female
AW00022449,11/27/1991,Female
AW00022450,12/9/1990,Female
AW00022451,7/28/1986,Female
AW00022452,4/9/1982,Female
AW00022453,1/3/1995,Male
AW00022454,8/12/1994,Female
AW00022455,5/6/1991,Male
AW00022456,6/17/1985,Female
AW00022457,1/17/1987,Female
AW00022458,2/11/1983,Female
AW00022459,4/13/1995,Male
AW00022460,10/21/1981,Male
AW00022461,2/18/1975,Male
AW00022462,1/29/2002,Female
AW00022463,7/28/1986,Male
AW00022464,12/12/2003,Male
AW00022465,7/11/1987,Male
AW00022466,11/13/1987,Male
AW00022467,5/29/1996,Male
AW00022468,2/15/1997,Male
AW00022469,9/14/1997,Female
AW00022470,12/17/1984,Female
AW00022471,10/28/1988,Male
AW00022472,6/13/1991,Female
AW00022473,5/27/2002,Male
AW00022474,11/10/1992,Female
AW00022475,8/22/2004,Female
AW00022476,1/20/2002,Male
AW00022477,7/15/1979,Male
AW00022478,1/19/1989,Female
AW00022479,7/2/1981,Female
AW00022480,6/30/1978,Female
AW00022481,4/27/1980,Male
AW00022482,12/1/1988,Female
AW00022483,10/27/1999,Male
AW00022484,8/3/1979,Female
AW00022485,1/27/2002,Male
AW00022486,6/7/1980,Male
AW00022487,6/10/1988,Male
AW00022488,5/12/1983,Male
AW00022489,7/19/2004,Male
AW00022490,7/1/1981,Female
AW00022491,2/25/1998,Male
AW00022492,2/2/1977,Male
AW00022493,12/22/1991,Male
AW00022494,12/15/1979,Male
AW00022495,9/23/1997,Male
AW00022496,5/25/1988,Female
AW00022497,7/25/1989,Male
AW00022498,2/27/1998,Male
AW00022499,11/29/1993,Female
AW00022500,8/3/1988,Male
AW00022501,12/12/1996,Male
AW00022502,2/2/1993,Female
AW00022503,12/4/1996,Female
AW00022504,8/18/1994,Male
AW00022505,4/9/1987,Female
AW00022506,8/4/1988,Female
AW00022507,9/24/1978,Male
AW00022508,1/26/1979,Male
AW00022509,4/4/1988,Female
AW00022510,8/25/1981,Female
AW00022511,5/19/1988,Female
AW00022512,12/18/1988,Female
AW00022513,10/8/1977,Male
AW00022514,1/14/2003,Male
AW00022515,9/12/2002,Female
AW00022516,12/29/1987,Female
AW00022517,7/29/1982,Male
AW00022518,7/25/1987,Female
AW00022519,9/30/1997,Male
AW00022520,10/6/1993,Male
AW00022521,7/24/1993,Female
AW00022522,5/2/1984,Male
AW00022523,1/2/1984,Male
AW00022524,11/8/1985,Female
AW00022525,2/26/1978,Male
AW00022526,9/9/2004,Male
AW00022527,5/21/1992,Female
AW00022528,1/5/1983,Female
AW00022529,3/3/2002,Male
AW00022530,11/10/2000,Female
AW00022531,12/14/1989,Female
AW00022532,1/3/1990,Male
AW00022533,10/14/1981,Male
AW00022534,12/28/1988,Female
AW00022535,12/10/1985,Female
AW00022536,5/7/1983,Female
AW00022537,5/25/1981,Male
AW00022538,10/9/1987,Female
AW00022539,12/6/1982,Male
AW00022540,7/30/1993,Female
AW00022541,3/25/2001,Female
AW00022542,9/3/1995,Female
AW00022543,12/12/1987,Male
AW00022544,10/14/1979,Female
AW00022545,11/7/1998,Female
AW00022546,9/1/1978,Male
AW00022547,8/26/1983,Male
AW00022548,10/8/1986,Female
AW00022549,6/9/2004,Female
AW00022550,5/2/1977,Male
AW00022551,7/6/1995,Male
AW00022552,2/11/1983,Female
AW00022553,5/14/1986,Female
AW00022554,9/2/1989,Male
AW00022555,8/21/1985,Male
AW00022556,5/27/1980,Male
AW00022557,7/30/1995,Male
AW00022558,11/21/1992,Male
AW00022559,9/8/1987,Female
AW00022560,9/17/1995,Female
AW00022561,6/13/1985,Female
AW00022562,5/24/1995,Female
AW00022563,3/14/2002,Male
AW00022564,1/22/1988,Female
AW00022565,9/20/1979,Female
AW00022566,10/23/1998,Male
AW00022567,1/1/1999,Male
AW00022568,7/29/1995,Female
AW00022569,12/19/2003,Male
AW00022570,10/8/1994,Male
AW00022571,2/12/2001,Male
AW00022572,5/9/2000,Female
AW00022573,3/9/1981,Male
AW00022574,11/16/1979,Male
AW00022575,8/13/1979,Male
AW00022576,12/12/2001,Male
AW00022577,12/6/1999,Male
AW00022578,12/14/2001,Male
AW00022579,5/26/1975,Female
AW00022580,4/10/1980,Female
AW00022581,1/23/1981,Female
AW00022582,12/18/2002,Female
AW00022583,3/14/1975,Male
AW00022584,5/17/1981,Female
AW00022585,7/16/1991,Male
AW00022586,9/5/1988,Male
AW00022587,3/30/1985,Female
AW00022588,1/15/1985,Female
AW00022589,3/19/1993,Female
AW00022590,5/6/1982,Male
AW00022591,5/3/1992,Male
AW00022592,8/9/1993,Female
AW00022593,12/18/1994,Male
